bookmeter_url,isbn_or_asin,book_title,author,publisher,published_date
https://bookmeter.com/books/1200005,4588202324,将棋　Ⅱ 23-Ⅱ (ものと人間の文化史),増川宏一／著,法政大学出版局,19851111
https://bookmeter.com/books/606292,458820291X,盤上遊戯 29 (ものと人間の文化史),増川宏一／著,法政大学出版局,19780701
https://bookmeter.com/books/8219293,4535586721,歌舞伎に踊る囲碁文化,"藁科,満治,1931-",日本評論社,201408
https://bookmeter.com/books/21539867,4320115511,データ解析のための数理統計入門,久保川達也／著,共立出版,20231012
https://bookmeter.com/books/4801782,4320123212,コンピュータ将棋の進歩 = Advances in Computer Shogi 6 (プロ棋士に並ぶ),"松原,仁,1959-",共立出版,201205
https://bookmeter.com/books/86137,4003025113,元禄期軽口本集 : 近世笑話集上 (岩波文庫),"武藤,禎夫,1926-",岩波書店,198707
https://bookmeter.com/books/14849595,4309227929,偽書『東日流外三郡誌』の亡霊 : 荒吐の呪縛,"藤原,明,1958-",河出書房新社,201912
https://bookmeter.com/books/210593,4003027019,元禄世間咄風聞集 (岩波文庫),"長谷川,強,1927-",岩波書店,199411
https://bookmeter.com/books/1056403,4582452027,旅人たちの食卓 : 近世ヨーロッパ美食紀行,"Gillet,Philippe 宇田川,悟,1947-",平凡社,198908
https://bookmeter.com/books/223848,4582841325,古文書の中のフィクション : 16世紀フランスの恩赦嘆願の物語 (平凡社選書),"Davis,NatalieZemon／著 宮下志朗／翻訳 成瀬駒男／翻訳 デーヴィスN.Z.／著",平凡社,1990-02
https://bookmeter.com/books/194309,4788791072,シーザーの晩餐 : 西洋古代飲食綺譚,"塚田,孝雄,1934-",時事通信社,199103
https://bookmeter.com/books/11239912,4320111346,数学ゲーム必勝法 1,"Berlekamp,ElwynR.,1940- Conway,JohnHorton,1937-2020 ほか",共立出版,201612
https://bookmeter.com/books/14409327,4320113853,アラビアン・ナイトのチェスミステリー : スマリヤンの逆向き解析問題集,"Smullyan,RaymondM,1919-2017 川辺,治之",共立出版,201910
https://bookmeter.com/books/11237784,4320111354,数学ゲーム必勝法 2,"Berlekamp,ElwynR.,1940- Conway,JohnHorton,1937-2020 ほか",共立出版,201612
https://bookmeter.com/books/4773414,4621061224,パターン認識と機械学習 : ベイズ理論による統計的予測,"Bishop, Christopher M.,元田, 浩,栗田, 多喜夫,樋口, 知之,松本, 裕治,村田, 昇,C. M. ビショップ著",,"Fri, 1 Oct 2021 10:14:57 +0900"
https://bookmeter.com/books/4683957,4621061240,パターン認識と機械学習 : ベイズ理論による統計的予測,"Bishop, Christopher M.,元田, 浩,栗田, 多喜夫,樋口, 知之,松本, 裕治,村田, 昇,C. M. ビショップ著",,"Fri, 1 Oct 2021 10:14:57 +0900"
https://bookmeter.com/books/641419,4163731504,地球最後の日のための種子,"Dworkin,Susan 中里,京子,1955-",文藝春秋,201008
https://bookmeter.com/books/22026640,4320006194,コンピューター誕生の歴史に隠れた6人の女性プログラマー : 彼女たちは当時なにを思い、どんな未来を想像したのか,キャシー・クレイマン 羽田昭裕,共立出版,
https://bookmeter.com/books/22782810,4487817463,Occult　神秘思想表象大全,ピーターフォーショー 栗田英彦 塩野谷恭輔,東京書籍,
https://bookmeter.com/books/379221,4388058033,リキュールブック,"福西, 英三, 1930-2022,福西英三 著",柴田書店,"Thu, 31 Jul 2025 01:00:41 +0900"
https://bookmeter.com/books/155578,4787794248,黄金伝説抄,"Jacobus,deVoragine,1229?-1298 藤代,幸一,1932-2020",新泉社,199412
https://bookmeter.com/books/1881714,4627821905,ニューラルネットワークアーキテクチャ入門,"Dayhoff,JudithE 桂井,浩,1943-",森北出版,199204
https://bookmeter.com/books/29405,4120023788,ミステリアスな文化史,"矢島,文夫,1928-2006",中央公論社,199411
https://bookmeter.com/books/1177015,4560057222,薔薇十字団 722 (文庫クセジュ),"Edighoffer,Roland 田中,義広,1950-",白水社,199110
https://bookmeter.com/books/22102704,476490649X,世界標準MIT教科書　アルゴリズムイントロダクション第4版総合版,浅野哲夫 岩野和生 梅尾博司 小山透 山下雅史 和田幸一,近代科学社,
https://bookmeter.com/books/56997,4879405493,日本の色辞典,"吉岡,幸雄,1946-2019 槙野,修,1948-",紫紅社,200006
https://bookmeter.com/books/60769,4861520711,日本の伝統色 : その色名と色調,"長崎,盛輝,1912-1995",青幻舎,200606
https://bookmeter.com/books/10144255,4130421425,医療経済学講義　補訂版,橋本英樹／編 泉田信行／編集,東京大学出版会,20160101
https://bookmeter.com/books/7116057,4635047652,山のパンセ (ヤマケイ文庫),"串田,孫一,1915-2005",山と溪谷社,201310
https://bookmeter.com/books/22775429,4122076935,プラハの古本屋 (中公文庫 ； ち9－1),千野栄一,中央公論新社,
https://bookmeter.com/books/22741755,4309468195,H・P・ラヴクラフト : 世界と人生に抗って ウ6-6 (河出文庫),"Houellebecq,Michel,1958- 星埜,守之,1958-",河出書房新社,202508
https://bookmeter.com/books/20547925,4087444791,デス・ゾーン : 栗城史多のエベレスト劇場 こ45-1 (集英社文庫),"河野,啓,1963-",集英社,202301
https://bookmeter.com/books/16224,410112812X,対談美酒について : 人はなぜ酒を語るか (新潮文庫),"開高,健,1930-1989 吉行,淳之介,1924-1994",新潮社,198511
https://bookmeter.com/books/22563256,4122076471,味と人情 : 食の時代小説傑作選,細谷／正充,中央公論新社,
https://bookmeter.com/books/14441414,4254131291,物理学者、機械学習を使う = Using Machine Learning for Physics : 機械学習・深層学習の物理学への応用,"橋本,幸士",朝倉書店,201910
https://bookmeter.com/books/13869788,4065162629,ディープラーニングと物理学 = DEEP LEARNING AND PHYSICS : 原理がわかる、応用ができる,"田中,章詞 富谷,昭夫 橋本,幸士",講談社,201906
