isbn_or_asin,book_title,author,publisher,published_date,utokyo_opac
4297142287,独学で鍛える数理思考〜先端AI技術を支える数学の基礎,古嶋十潤,技術評論社,,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BD08150487
4582766773,会社はこれからどうなるのか 677 (平凡社ライブラリー),"岩井,克人,1947-",平凡社,200909,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BA91321725
4121800036,アーロン収容所 : 西欧ヒューマニズムの限界 3 (中公新書),"会田,雄次,1916-1997",中央公論新社,201801,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB25314393
4393499107,質的研究入門 : 〈人間の科学〉のための方法論,"Flick,Uwe,1956- 小田,博志,1966- 山本,則子,1963- 春日,常",春秋社,201102,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB05058687
4788517698,質的研究をはじめるための30の基礎スキル,J.クレスウェル／著 J.バイアス／著 廣瀬眞理子／訳,新曜社,20220531,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BC14842127
4833422344,哲学用語図鑑 = THE VISUAL DICTIONARY OF PHILOSOPHY 続,"田中,正人,1970- 斎藤,哲也,1971-",プレジデント社,201706,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB18312795
4833421194,哲学用語図鑑 = THE VISUAL DICTIONARY OF PHILOSOPHY,"田中,正人,1970- 斎藤,哲也,1971-",プレジデント社,201503,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB18312795
4416520379,図解心理学用語大全 = THE VISUAL DICTIONARY OF PSYCHOLOGY : 人物と用語でたどる心の学問,"田中,正人,1970- 斉藤,勇,1943- 玉井,麻由子",誠文堂新光社,202005,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB30569735
4833423111,社会学用語図鑑 = THE VISUAL DICTIONARY OF SOCIOLOGY : 人物と用語でたどる社会学の全体像,"田中,正人,1970- 香月,孝史,1980-",プレジデント社,201903,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB27843908
4320014243,新しい誤差論 : 実験データ解析法,"吉沢,康和,1926-",共立出版,198911,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BN03942590
