isbn_or_asin,book_title,author,publisher,published_date,utokyo_opac
4883198979,留学生のための近代文語文入門 : 現代の日本と日本語を知るために,"庵, 功雄, 1967-,庵功雄 著",スリーエーネットワーク,"Wed, 12 Jan 2022 20:07:17 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BC11697961
4814401221,PythonによるWebスクレイピング,"Mitchell, Ryan E,嶋田, 健志,新井, 翔太,Ryan Mitchell 著,嶋田健志, 新井翔太 訳",[object Object],"Wed, 16 Jul 2025 23:13:01 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BD12258057
4274232581,「パワエレ、マジわからん」と思ったときに読む本,"和田, 圭二,和田圭二 著",オーム社,"Thu, 31 Jul 2025 01:18:33 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BD12610933
4005008836,生きづらい明治社会 : 不安と競争の時代 / 岩波ジュニア新書 ; 883,"松沢, 裕作,松沢裕作 著",岩波書店,"Mon, 23 May 2022 20:42:17 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB26827633
4771039755,大正教養主義の成立と末路 : 近代日本の教養幻想,"松井, 健人, 1992-,松井健人 著",晃洋書房,"Tue, 12 Aug 2025 22:19:43 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BD12791033
4296208004,ネット炎上事例300 : なぜ企業や個人は失敗を繰り返すのか?,"小林, 直樹, 1971-,小林直樹 著",[object Object],"Wed, 4 Jun 2025 22:25:30 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BD11687921
4000069764,統計的テキストモデル : 言語へのベイズ的アプローチ / 確率と情報の科学,"持橋, 大地, 1973-,甘利, 俊一, 1936-,麻生, 英樹, 1958-,伊庭, 幸人, 1959-,持橋大地 著",岩波書店,"Tue, 12 Aug 2025 18:31:00 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BD12486288
4479307095,申し訳ない、御社をつぶしたのは私です。 : コンサルタントはこうして組織をぐちゃぐちゃにする / だいわ文庫 ; 373-1G,"Phelan, Karen,神崎, 朗子,カレン・フェラン 著,神崎朗子 訳",大和書房,"Fri, 13 Jul 2018 23:57:58 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB26418678
4322134084,アルゴリズム取引の正体,"NTTデータフィナンシャルソリューションズ,NTTデータ・フィナンシャル・ソリューションズ先端金融工学センター 編著",[object Object],"Fri, 9 Nov 2018 18:43:37 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB27039915
406117925X,現代数学小事典 / ブルーバックス ; B325,"寺阪, 英孝,寺阪英孝 編",講談社,"Mon, 1 Jan 1900 20:00:00 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BN01795713
303002461X,"(Almost) Impossible Integrals, Sums, and Series (Problem Books in Mathematics)",Cornel Ioan Vălean,Springer,2019-05-24,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB28297825
4296119605,"数学の楽園 : 数独からトポロジー, 圏論まで","日経サイエンス編集部,日経サイエンス編集部編",[object Object],"Sun, 22 Dec 2024 00:00:10 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BD05805171
110759166X,Academic Vocabulary in Use Edition with Answers,"Michael McCarthy,Felicity O'Dell",Cambridge University Press,2016-02-12,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB21205308
4582764975,「定本」発禁本 : 書物とその周辺 / 平凡社ライブラリー. Offシリーズ,"城, 市郎, 1922-2016,城市郎 著",平凡社,"Thu, 12 Sep 2019 07:10:33 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BA66663840
4621061623,対称性からの群論入門,"Armstrong, M. A. (Mark Anthony),佐藤, 信哉,M.A.アームストロング著 ; 佐藤信哉訳 ; シュプリンガー・ジャパン編",丸善出版,"Sun, 22 Dec 2024 00:00:10 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB09647806
4297138891,LATEX美文書作成入門,"奥村, 晴彦, 1951-,黒木, 裕介, 1982-,奥村晴彦, 黒木裕介 著",技術評論社,"Tue, 26 Dec 2023 06:21:00 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BD04793011
4297145464,〈作って学ぶ〉ブラウザのしくみ : HTTP、HTML、CSS、JavaScriptの裏側 / WEB+DB PRESS plusシリーズ,"土井, 麻未,土井麻未 著",技術評論社,"Fri, 29 Nov 2024 23:52:00 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BD0948059X
4798153222,プログラマのためのDocker教科書 : インフラの基礎知識&コードによる環境構築の自動化,"阿佐, 志保,山田, 祥寛,阿佐志保 著,山田祥寛 監修",翔泳社,"Tue, 1 May 2018 19:47:24 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB25926163
4873117208,作ることで学ぶ : Makerを育てる新しい教育のメソッド / Make : Japan Books,"Martinez, Sylvia Libow,Stager, Gary,阿部, 和広,酒匂, 寛, 1958-,Sylvia Libow Martinez, Gary Stager 著,阿部和広 監修,酒匂寛 訳",[object Object],"Sat, 23 May 2015 01:54:05 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB18301234
4910038965,創られたキリシタン像 : 排耶書・実録・虚構系資料 / 西南学院大学博物館研究叢書,"鬼束, 芽依, 1996-,片山, 隆裕, 1957-,西南学院大学博物館,鬼束芽依 編,片山隆裕 監修",[object Object],"Tue, 22 Oct 2024 19:26:40 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BD0864815X
