isbn_or_asin,book_title,author,publisher,published_date
4903063909,ミーハンズ バーテンダー・マニュアル,ジム・ミーハン／著 二階堂行彦／翻訳,楽工社,20221202
4415008356,リキュールとカクテルの事典 : リキュールはもっと楽しめる,成美堂出版株式会社,成美堂出版,199907
4908686211,ゼロから始めるLean言語入門 手を動かして学ぶ形式数学ライブラリ開発,井上亜星,ラムダノート,
4991020441,キャラクターの顔は「顔」なのか,太田碧／著,博論社,20250831
4801301681,封印されたアダルトビデオ (彩図社文庫),井川楊枝／著,彩図社,20160715
4296071076,Ｃ言語を使った高精度な組み込みシステム　ラズパイPicoベアメタル開発完全ガイド,"米田 聡,米田 聡 著・文・その他",[object Object],"Thu, 28 Aug 2025 19:19:00 +0900"
4254235917,人体損傷工学 (自動車工学シリーズ ； 8),岩本正実,朝倉書店,
4759825223,大英自然史博物館 珍鳥標本盗難事件 : なぜ美しい羽は狙われたのか (DOJIN文庫),カーク・ウォレス・ジョンソン 矢野真千子,化学同人,
4814401337,Effective Python 第3版 : Pythonプログラムを改良する125項目,"Brett Slatkin,鈴木 駿,Brett Slatkin 著・文・その他,鈴木 駿 翻訳",,"Fri, 5 Sep 2025 01:00:00 +0900"
4838733291,ピアノが弾けるようになる本,"Rhodes, James, 1975-,ジェイムズ・ローズ 著,稲垣えみ子 訳",マガジンハウス,"Tue, 2 Sep 2025 20:43:31 +0900"
4297150786,原論文から解き明かす生成AI,菊田遥平,技術評論社,
4814401264,データサイエンスのための数学入門 : Pythonで学ぶ線形代数、確率、統計の基礎,ThomasNield 江川崇,オーム社,
4778340922,闇バイトの歴史 : 　「名前のない犯罪」の系譜,藤原良,太田出版,
484591056X,SAVE THE CATの法則 : 本当に売れる脚本術,,フィルムアート社,20101022
4320115872,統計学二十六景 : 視点・難問・矛盾,EricSowey PeterPetocz 西原史暁,共立出版,
4274233871,Rで学ぶ経済シミュレーション分析 : 予測と政策効果の検証,村尾博,オーム社,
4065407125,原理と意味から理解する　ベイズ統計　入門講義 / KS理工学専門書,"原 啓介,原 啓介 著・文・その他",講談社,"Wed, 27 Aug 2025 19:11:00 +0900"
4065406528,ルポ失踪　逃げた人間はどのような人生を送っているのか？,"松本　祐貴,松本　祐貴 著・文・その他",,"Thu, 28 Aug 2025 19:24:00 +0900"
4153400467,幽霊の脳科学 (ハヤカワ新書),古谷博和,早川書房,
4297150271,アナログ回路が一番わかる,野口卓朗,技術評論社,
4106110180,貧乏ピッツァ (新潮新書),ヤマザキマリ／著,新潮社,20231117
4865373020,ルポマンション麻雀 バブル期から脈々と続く超高レート賭博の実態,福地,,2025-06
4794980124,世界自炊紀行,山口祐加,晶文社,
4826902425,イギリス花粉学者の科学捜査ファイル : 自然が明かす犯罪の真相,"Wiltshire,PatriciaE.J 西田,美緒子",白揚社,202211
4297150565,Webフォント実践ガイド　　 Google Fontsではじめる 美しく機能的なタイポグラフィ,飯塚修平,技術評論社,
4826902638,カルトのことば : なぜ人は魅了され、狂信してしまうのか,アマンダ・モンテル 青木音,白揚社,
406540651X,セカイ系入門 (星海社新書),渡邉大輔,講談社,
4087213730,過疎ビジネス (集英社新書),横山勲,集英社,
4826902727,数理モデルはなぜ現実世界を語れないのか : 社会的な視点から科学的予測を考える,"エリカ・トンプソン,塩原 通緒,エリカ・トンプソン 著・文・その他,塩原 通緒 翻訳",[object Object],"Wed, 23 Jul 2025 00:39:00 +0900"
480790521X,計測における誤差解析入門,"Taylor,JohnRobert,1939- 林,茂雄,1948- 馬場,凉,1953-",東京化学同人,200003
4254250479,化学・化学工学のための実践データサイエンス : Pythonによるデータ解析・機械学習,"金子,弘昌",朝倉書店,202210
4787292625,〈怪異〉とナショナリズム,怪異怪談研究会／監修 茂木謙之介／編著 小松史生子／編著 副田賢二／編著 松下浩幸／編著,青弓社,20211129
4866734477,世界のお弁当とソトごはん,"岡根谷, 実里, 1989-,岡根谷実里 著",三才ブックス,"Mon, 26 May 2025 23:17:32 +0900"
4487817463,Occult　神秘思想表象大全,ピーターフォーショー 栗田英彦 塩野谷恭輔,東京書籍,
4408651656,日本で唯一犯罪が許される場所,勝丸円覚,実業之日本社,
4498019342,最新輸血学テキスト = Textbook of Transfusion Medicine,"大坂,顯通",中外医学社,202306
4814401191,初めてのGo言語（第2版） : 他言語プログラマーのためのイディオマティックGo実践ガイド,JonBodner 武舎広幸,,
4797680652,熊楠と幽霊 065 (インターナショナル新書),"志村,真幸,1977-",集英社 (発売),202102
4274232581,「パワエレ、マジわからん」と思ったときに読む本,和田圭二,オーム社,
429520207X,色の大事典 : 基礎知識と配色・カラーチャート・伝統色・慣用色名 : DIGITAL COLORS for DESIGN,"井上,のきあ",インプレス (発売),202109
4875025793,本朝妖怪年代紀,工作舎,工作舎,202506
4798190209,Exercise JavaScript プログラマ脳を鍛える至高の問題集 (Exercise),FarazK.Kelhini 株式会社クイープ,翔泳社,
4798190195,Exercise C++ プログラマ脳を鍛える至高の問題集 (Exercise),AndersSchauKnatten 株式会社クイープ,翔泳社,
4562073764,シャーロック・ホームズと見るヴィクトリア朝英国の食卓と生活,"関矢,悦子",原書房,202312
4394904625,第2巻　イギリス寒雪夜がたり集 (荒俣宏 幻想文学翻訳集成 欧米幻想ファンタジー精華 ； 第2巻),荒俣宏,（株）春陽堂書店,
4798067881,対戦型麻雀ゲームAIのアルゴリズムと実装,"小林,聡,1964-",秀和システム,202301
4814400861,スタッフエンジニアの道 : 優れた技術専門職になるためのガイド,TanyaReilly 島田浩二,オーム社,
4798184918,バックエンドエンジニアのためのインフラ・クラウド大全,株式会社X-Tech5 馬場俊彰,翔泳社,
4297148994,Docker & Kubernetesネットワークのしくみ　クラウドネイティブに求められる情報通信の知識,大隈峻太郎,技術評論社,
4991355826,Raspberry Pi2でスーパーコンピュータを作ってみた! ラズパイスパコンで円周率編,"D. M,D.M Entry Point,D.M 著,D.M Entry Point 編",D.M Entry Point,"Tue, 17 Jun 2025 23:22:40 +0900"
4908686203,型システムのしくみ : TypeScriptで実装しながら学ぶ型とプログラミング言語,"遠藤, 侑介,遠藤侑介 著",ラムダノート,"Tue, 17 Jun 2025 22:50:09 +0900"
4297148595,〈作って学ぶ〉OSのしくみ. 1 (WEB+DB PRESS plusシリーズ),hikalium,技術評論社,202505
453721869X,カクテルをたしなむ人のレッスン&400レシピ,LiquidLiquid,日本文芸社,202102
4478120498,自炊の壁 : 料理の「めんどい」を乗り越える100の方法,"佐々木, 典士, 1979-,佐々木典士, 山口祐加 著",ダイヤモンド社,"Tue, 18 Mar 2025 23:12:04 +0900"
4540810634,趣味の酒つくり―ドブロクをつくろう実際編,Koutarou Sasano,,
4815621357,群論への第一歩 : 集合、写像から準同型定理まで : 数学への第一歩,"結城,浩,1963-",SBクリエイティブ,202403
4764905434,現場主義統計学のすすめ : 野外調査のデータ解析 1 (統計スポットライト・シリーズ),"島谷,健一郎,1961- 宮岡,悦良,1955-",近代科学社,201708
4272412450,わかる・身につく　歴史学の学び方　第2版 (大学生の学びをつくる),大学の歴史教育を考える会,大月書店,
4862466087,職種と用途で探せる Blenderアドオン事典（仮）,3D人,ボーンデジタル,
4845920336,文体の舵をとれ ル＝グウィンの小説教室,アーシュラ・Ｋ・ル＝グウィン／著 大久保ゆう／翻訳,フィルムアート社,20210803
4535559260,［新版］社会的選択理論への招待 : 投票と多数決の科学,坂井豊貴,,
4585303057,デジタルデータの長期保存・活用 : その理論と実践 / デジタルアーカイブ・ベーシックス,"嘉村, 哲郎, 1980-,嘉村哲郎 責任編集",勉誠社,"Thu, 29 May 2025 19:33:44 +0900"
4065172519,Pythonで学ぶ強化学習 = Reinforcement Learning by Python : 入門から実践まで (機械学習スタートアップシリーズ),"久保,隆宏",講談社,201909
4794227663,古本屋の誕生 : 東京古書店史,"鹿島, 茂, 1949-,鹿島茂 著",草思社,"Tue, 11 Mar 2025 23:58:29 +0900"
4779518547,文系大学生は専門分野で何を学ぶのか,本田由紀／編集 小山治／著,ナカニシヤ出版,202503
4627872518,有理算術演算 = Rational Arithmetic : 高精度数値計算のためのアルゴリズムとプログラミング,"寒川,光 高橋,大介",森北出版,202310
