isbn_or_asin,book_title,author,publisher,published_date
4003725174,芥川龍之介選 英米怪異・幻想譚 (岩波文庫 ； 赤N208-1),芥川龍之介 澤西祐典 柴田元幸,岩波書店,
4623097978,史料と旅する中世ヨーロッパ,図師宣忠 中村敦子 西岡健司,ミネルヴァ書房,
4908686203,型システムのしくみ  TypeScriptで実装しながら学ぶ型とプログラミング言語,"遠藤侑介,遠藤侑介 著・文・その他","ラムダノート,ラムダノート","Thu, 10 Apr 2025 00:43:00 +0900"
4768459722,全訳大和怪異記 : 古典怪談玉手箱,"福井, 栄一, 1966-,福井栄一 著",現代書館,"Wed, 19 Mar 2025 22:25:51 +0900"
4480076786,「東大卒」の研究 １８５０ (ちくま新書),本田由紀／編著 久保京子／本文 近藤千洋／本文 中野円佳／著 九鬼成美／著,筑摩書房,20250410
4297148595,［作って学ぶ］OSのしくみⅠ──メモリ管理、マルチタスク、ハードウェア制御,hikalium,技術評論社,
4766430158,一歩ずつマスターする論理学入門,"峯島, 宏次,峯島宏次 著",慶應義塾大学出版会,"Thu, 17 Apr 2025 20:22:24 +0900"
453721869X,カクテルをたしなむ人のレッスン&400レシピ,LiquidLiquid,日本文芸社,202102
4623098680,専門書を読む : 教員と学生でつくる10講座,吉田文 濱中淳子 渡邉浩一,ミネルヴァ書房,
4320115783,数理統計学史 : ラプラス，ピアソン，フィッシャー，そしてベイズ統計へ,PrakashGorroochurn 鎌倉稔成 田中豊 森裕一 宿久洋,共立出版,
4478120498,自炊の壁 : 料理の「めんどい」を乗り越える100の方法,"佐々木, 典士, 1979-,佐々木典士, 山口祐加 著",ダイヤモンド社,"Tue, 18 Mar 2025 23:12:04 +0900"
479739448X,DNSがよくわかる教科書 : 使える力が身につく,"渡邉,結衣 佐藤,新太 藤原,和典 森下,泰宏",SBクリエイティブ,201812
4540810634,趣味の酒つくり―ドブロクをつくろう実際編,Koutarou Sasano,,
4862466087,職種と用途で探せる Blenderアドオン事典（仮）,3D人,ボーンデジタル,
4535559260,［新版］社会的選択理論への招待 : 投票と多数決の科学,坂井豊貴,,
4585303057,デジタルデータの長期保存・活用 : その理論と実践 / デジタルアーカイブ・ベーシックス,"嘉村哲郎,嘉村哲郎 編集","勉誠社,勉誠社","Tue, 11 Mar 2025 00:26:00 +0900"
4065392187,ヒューリスティック探索　合理的なAIをつくるためのアルゴリズム (KS情報科学専門書),陣内佑,講談社,
4296205455,ポストモーテム みずほ銀行システム障害 事後検証報告 (日経ビジネス人文庫),日経コンピュータ,,
4779518547,文系大学生は専門分野で何を学ぶのか,本田由紀／編集 小山治／著,ナカニシヤ出版,202503
4627872518,有理算術演算 = Rational Arithmetic : 高精度数値計算のためのアルゴリズムとプログラミング,"寒川,光 高橋,大介",森北出版,202310
4041155126,ニセコ化するニッポン,"谷頭,和希,1997-",KADOKAWA,202501
4865284540,「女子マネージャー」の社会学,関めぐみ／著,左右社,20250314
476783371X,世界の神話解剖図鑑,,エクスナレッジ,
4910612165,改訂増補版 イメージでとらえる ビジュアル複素関数入門,井澤裕司,プレアデス出版,
4087213501,新聞記者がネット記事をバズらせるために考えたこと (集英社新書),斉藤友彦,,
