bookmeter_url,isbn_or_asin,book_title,author,publisher,published_date,exist_in_UTokyo,utokyo_opac
https://bookmeter.com/books/580231,4758433720,火星ダーク・バラード,"上田,早夕里,1964-",角川春樹事務所,200810,No,
https://bookmeter.com/books/204760,4320012402,イプシロン-デルタ,,共立出版,1978-05,Yes,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BN01300548
https://bookmeter.com/books/708078,4004160014,数の体系,弥永昌吉／著,岩波書店,1972-01,Yes,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BN00682529
https://bookmeter.com/books/369944,4061180215,暗号の数理 作り方と解読の原理,一松信,,1980,Yes,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BN01806809
https://bookmeter.com/books/12504,4061489097,はじめての現代数学,"瀬山,士郎,1946-",講談社,198807,No,
https://bookmeter.com/books/180296,4004202655,DNAと遺伝情報,三浦謹一郎,岩波書店,1984-05,Yes,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BN01804825
https://bookmeter.com/books/199826,4061455664,怒らぬ若者たち,"森,清",講談社,198001,No,
https://bookmeter.com/books/570631,4061156934,日本人の意識構造 : 風土・歴史・社会,会田‖雄次,講談社,1972,Yes,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BN02613651
https://bookmeter.com/books/1777298,4380830004,欧米大学レポート ハーバード大学とパリ大学,小林良彰,,1983,Yes,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BN04540832
https://bookmeter.com/books/22071107,0133835480,"Handy Book Of Commonly Used American Idioms, Revised","Wiener, S.",Pearson College Div,1987-01-01,No,
https://bookmeter.com/books/3403970,4622016850,科学における伝統,"Heisenberg,Werner 山崎,和夫 Dürr,Hans-Peter",みすず書房,197811,Yes,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BN00734021
https://bookmeter.com/books/78913,4491002770,「学び」の構造,,東洋館出版社,1975-01,Yes,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BN00401812
https://bookmeter.com/books/11051037,4588010441,真理と正当化 哲学論文集,J.ハーバーマス／著 三島憲一／訳 大竹弘二／訳 木前利秋／訳 鈴木直／訳,法政大学出版局,20160627,Yes,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB21532610
https://bookmeter.com/books/13035773,4588010824,フッサールの遺産,ダン・ザハヴィ／著 中村拓也／訳,法政大学出版局,20181001,Yes,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB26904483
https://bookmeter.com/books/5672957,4000238779,知の歴史学,"Hacking,Ian,1936- 出口,康夫 大西,琢朗,1978- 渡辺,一弘,1979-",岩波書店,201212,Yes,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB11202063
https://bookmeter.com/books/88235,4767410789,新英和中辞典 : Kenkyusha's new college English-Japanese dictionary,"竹林,滋,1926-2011",研究社,200304,Yes,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BA61670168
https://bookmeter.com/books/88339,4342785722,Longman dictionary of contemporary English,,桐原書店 (distributor),2003-01,No,
https://bookmeter.com/books/397811,4062583356,ブッダ論理学五つの難問,"石飛, 道子, 1951-,石飛道子 著",講談社,"Tue, 9 Aug 2005 23:54:45 +0900",Yes,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BA72545408
