isbn_or_asin,book_title,author,publisher,published_date,sophia_opac,sophia_mathlib_opac
4254122411,入門統計的因果推論,"Pearl,Judea Glymour,Madelyn Jewell,NicholasP.,1952- ほか",朝倉書店,201908,https://www.lib.sophia.ac.jp/opac/opac_openurl?isbn=4254122411,
4320113217,数学の問題をうまくきれいに解く秘訣,"Posamentier,AlfredS Krulik,Stephen 桐木,由美 桐木,紳",共立出版,201709,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB24468562,
4627062613,1つの定理を証明する99の方法,"Ording,Philip 冨永,星,1955-",森北出版,202101,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BC05337338,
4873119952,機械学習エンジニアのためのTransformers : 最先端の自然言語処理ライブラリによるモデル開発,"Tunstall,Lewis Werra,Leandrovon Wolf,Thomas ほか",オーム社 (発売),202208,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BC16221663,
4004318327,「勤労青年」の教養文化史 1832 (岩波新書 新赤版),"福間,良明,1969-",岩波書店,202004,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB30260191,
4004320364,論理的思考とは何か (岩波新書 ； 新赤版 2036),渡邉雅子,岩波書店,,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD09125485,
4048930621,深層学習,"Goodfellow,Ian Bengio,Yoshua Courville,Aaron ほか",KADOKAWA,201802,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB25655758,
4642039317,夜更かしの社会史 : 安眠と不眠の日本近現代,"近森,高明 右田,裕規",吉川弘文館,202402,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD05522290,
4469042412,大修館英語学事典,"松浪,有 池上,嘉彦 今井,邦彦",大修館書店,198307,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BN00086599,
4004320380,象徴天皇の実像 「昭和天皇拝謁記」を読む (岩波新書 ； 新赤版 2038),原武史,岩波書店,,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD09125827,
4562074760,北朝鮮の食卓 : 食からみる歴史、文化、未来,キム・ヤンヒ 金知子,原書房,,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD09194808,
4582468268,詰将棋の誕生 : 『詰むや詰まざるや』を読み解く,"若島,正,1952-",平凡社,202408,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD08531356,
4787233076,夜食の文化誌 (青弓社ライブラリー　62),西村大志／編著,青弓社,20100117,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB00878297,
