isbn_or_asin,book_title,author,publisher,published_date
4767434858,英語句動詞分類辞典,"クリストファ・バーナード,クリストファ・バーナード 著・文・その他","研究社,研究社","Sun, 9 Feb 2025 18:27:00 +0900"
4407316969,情報セキュリティ教本 : 組織の情報セキュリティ対策実践の手引き,"土居,範久,1939- 情報処理推進機構",実教出版,200903
4065386470,線形代数の半歩先　データサイエンス・機械学習に挑む前の30話 / KS理工学専門書,"大久保 潤,大久保 潤 著・文・その他",講談社,"Mon, 3 Feb 2025 18:28:00 +0900"
4326251816,予言がはずれるとき　新装版 : この世の破滅を予知した現代のある集団を解明する,"レオン・フェスティンガー,ヘンリー・W・リーケン,スタンレー・シャクター,水野　博介,釈　徹宗,レオン・フェスティンガー 著・文・その他,ヘンリー・W・リーケン 著・文・その他,スタンレー・シャクター 著・文・その他,水野　博介 翻訳,釈　徹宗 解説",,"Sun, 9 Feb 2025 18:27:00 +0900"
4560073767,中世のパン / 白水Uブックス,"Desportes, Françoise,見崎, 恵子, 1951-,フランソワーズ・デポルト [著],見崎恵子 訳",白水社,"Fri, 25 Jul 2014 07:02:52 +0900"
4798183962,つくって、壊して、直して学ぶKubernetes入門,"高橋,あおい 五十嵐,綾",翔泳社,202404
4065383153,ヴォイニッチ写本　世界一有名な未解読文献にデータサイエンスが挑む,安形麻理 安形輝,,
4074616750,妖精教授　最後の授業　魔法の世界,"井村君江,井村君江 著・文・その他","主婦の友社,主婦の友社","Sat, 8 Feb 2025 18:36:00 +0900"
4103559918,図書館を建てる、図書館で暮らす : 本のための家づくり,橋本麻里 山本貴光,新潮社,
110759166X,Academic Vocabulary in Use Edition with Answers,"Michael McCarthy,Felicity O'Dell",Cambridge University Press,2016-02-12
4122069297,一杯のおいしい紅茶 : ジョージ・オーウェルのエッセイ オ3-1 (中公文庫),"Orwell,George,1903-1950 小野寺,健,1931-2018",中央公論新社,202008
404605252X,バイリンガルITエンジニアの英語,mayuko,,2025-01-18
4297132125,情報処理安全確保支援士午後問題徹底解説 : 「ネットワーク」+「認証」がわかれば絶対合格!,,技術評論社,202301
4046061979,ゼロからスタート!教育系YouTuberまさるの情報処理安全確保支援士1冊目の教科書,,KADOKAWA,202309
4046058153,アメリカ人教授に学ぶ英文ライティングのメタモルフォーゼ = ENGLISH WRITING METAMORPHOSIS LEARNING FROM AN AMERICAN PROFESSOR,,KADOKAWA,202301
4756921655,英語ライティングの鬼100則 : 論理的思考をつきつめる,,明日香出版社,202108
4801307337,教養としてのハイブランド,とあるショップのてんちょう／著,彩図社,20240927
4909718133,ZERRO[ゼロ] 増補新装版,松田行正／著,牛若丸,20241204
1506271189,1100 Words You Need to Know + Online Practice: Build Your Vocabulary in just 15 minutes a day!,"Rich Carriero,Murray Bromberg,Melvin Gordon",Barrons Educational Services,2022-06-07
4794224192,カルチャロミクス : 文化をビッグデータで計測する エ2-1 (草思社文庫),"Aiden,Erez Michel,Jean-Baptiste 阪本,芳久,1950-",草思社,201910
4907162200,魔術の文法学: 記号論的エッセー,"前野, 佳彦,前野佳彦著",テクネ,"Fri, 11 Oct 2024 09:04:52 +0900"
4576240471,津山三十人殺し最終報告書,"石川,清",二見書房,202411
4798074144,"ハロー“Hello, World” OSと標準ライブラリのシゴトとしくみ 第2版",坂井弘亮,秀和システム,
4087455955,謎の独立国家ソマリランド : そして海賊国家プントランドと戦国南部ソマリア た58-16 (集英社文庫),"高野,秀行,1966-",集英社,201706
4582764975,「定本」発禁本 : 書物とその周辺 (平凡社ライブラリー. Offシリーズ),"城,市郎,1922-2016",平凡社,200404
4873768888,映像の原則 : ビギナーからプロまでのコンテ主義,"富野, 由悠季,富野由悠季 著",キネマ旬報社,"Wed, 25 Dec 2024 11:36:21 +0900"
4867800570,西洋文学にみる魔術の系譜,田中千惠子／著・編集,小鳥遊書房,20241210
4766138511,ノスタルジア酒場 : 東欧旧社会主義国のお酒とおつまみ事情＆レシピ70,イスクラ,グラフィック社,
4150506132,謎のチェス指し人形「ターク」 (ハヤカワ文庫NF),トム・スタンデージ 服部桂,,
4621061623,対称性からの群論入門,"Armstrong,M.A.(MarkAnthony) 佐藤,信哉",丸善出版,201205
4774183857,Linuxエンジニア養成読本 : IoTもクラウドも、システムの基礎と基盤はLinux! / Software Design plus. 10年先も役立つ力をつくる,,技術評論社,"Wed, 7 Sep 2016 23:23:14 +0900"
4297138891,LATEX美文書作成入門,"奥村,晴彦,1951- 黒木,裕介,1982-",技術評論社,202312
4297145464,［作って学ぶ］ブラウザのしくみ──HTTP、HTML、CSS、JavaScriptの裏側,土井麻未,技術評論社,
4781651062,とんねるずと『めちゃイケ』の終わり : 〈ポスト平成〉のテレビバラエティ論 106 (イースト新書),ラリー遠田,イースト・プレス,201808
4798153222,プログラマのためのDocker教科書 : インフラの基礎知識&コードによる環境構築の自動化,"阿佐,志保 山田,祥寛",翔泳社,201804
4798071501,開発系エンジニアのためのDocker絵とき入門 : 定番技術の基本をビジュアルで理解する : Dockerの「なぜ」を解決!,"鈴木,亮,pub.2024",秀和システム,202401
4576221477,オカルト・クロニクル = OCCULT CHRONICLE : 奇妙な事件奇妙な出来事奇妙な人物,"松閣,オルタ",二見書房,202210
4873117208,作ることで学ぶ : Makerを育てる新しい教育のメソッド (Make : Japan Books),"Martinez,SylviaLibow Stager,Gary 阿部,和広 酒匂,寛,1958-",オーム社,201503
4910038965,創られたキリシタン像 (西南学院大学博物館研究叢書),鬼束芽依／編集,西南学院大学博物館,20240830
4910315314,とるにたらない美術,原田裕規／著,ケンエレブックス,20231128
4845913143,ラッセンとは何だったのか? : 消費とアートを越えた「先」,"原田, 裕規, 1989-,原田裕規 編著",フィルムアート社,"Fri, 8 Mar 2024 17:31:33 +0900"
4344948203,SEの悲鳴 : ITエンジニアを食い物にする多重下請け構造の闇,"田中, 宏明, 1978-,田中宏明 著","幻冬舎メディアコンサルティング,幻冬舎","Wed, 25 Sep 2024 00:11:54 +0900"
4798177849,絵で見てわかるLinuxカーネルの仕組み (絵で見てわかる),市川正美 大岩尚宏 島本裕志 武内覚 田中隆久 丸山翔平,翔泳社,
4167257033,田宮模型の仕事 (文春文庫),"田宮,俊作,1934-",文藝春秋,200005
4908468702,エセ商標権事件簿 Vol.2 (過剰権利主張ケーススタディーズ),友利昴／著,パブリブ,20231215
441662378X,スイッチバック大全 : 日本の“折り返し停車場”140ヶ所の魅力と歴史を全紹介,江上英樹 栗原景,誠文堂新光社,
4480427457,絶滅寸前季語辞典,夏井いつき／著,筑摩書房,20100801
4163918949,コード・ブッダ = CODE BUDDHA : 機械仏教史縁起,"円城,塔",文藝春秋,202409
4297143097,深層ニューラルネットワークの高速化,佐藤竜馬,技術評論社,
4903474496,コンピュータグラフィックス = Computer graphics,画像情報教育振興協会,画像情報教育振興協会,201503
4903474577,ビジュアル情報処理 : CG・画像処理入門 : CGエンジニア検定・画像処理エンジニア検定ベーシック対応書籍,画像情報教育振興協会,画像情報教育振興協会,"Thu, 22 Jun 2017 02:37:43 +0900"
4839984166,大規模データセットのためのアルゴリズムとデータ構造 (Compass),DzejlaMedjedovic EminTahirovic InesDedovic ほか,マイナビ出版,
456962457X,素人のように考え、玄人として実行する : 問題解決のメタ技術,"金出,武雄,1945-",PHP研究所,200306
4297125625,コンセプトから理解するRust,"原,旅人,1975-",技術評論社,202202
4798635758,アクションポーズ大全　アクション漫画家が欲しかった魅せるポーズ5000,霧月,ホビージャパン,
4480430695,中華料理の文化史,張競／著,筑摩書房,20130601
0714111538,Ancient Board Games in Perspective,Irving Finkel,British Museum Press,2007
4845921324,映像クリエイターのための完全独学マニュアル,,フィルムアート社,20221026
4845921170,色のコードを読む,ポール・シンプソン／著 中山ゆかり／翻訳,フィルムアート社,20221224
482400702X,ただのぽんこつ母さんだと思っていたらADHDグレーでした。 (はちみつコミックエッセイ),はなゆい,オーバーラップ,202401
477752275X,よくわかる世界のサイバー犯罪 : フェイクニュース、スパイウェア、個人情報の流出から身を守る : サイバー犯罪の現在を知り自分の身を守ろう (I/O BOOKS),"御池,鮎樹",工学社,202404
4864260524,調査されるという迷惑　増補版,宮本常一 安渓遊地,みずのわ出版,
4791714636,特集民俗学の現在,,青土社,"Thu, 28 Nov 2024 11:15:10 +0900"
4774143731,3分間ネットワーク基礎講座 : 世界一わかりやすいネットワークの授業,"網野,衛二",技術評論社,201010
4802613903,発達障害・メンタル不調などに気づいたときに読む本 : 精神科の受診や特徴までがわかる,"浜内,彩乃",ソシム,202212
4150506094,ヴィクトリア朝時代のインターネット (ハヤカワ文庫NF),トムスタンデージ 服部桂,,
4908686106,Webブラウザセキュリティ : Webアプリケーションの安全性を支える仕組みを整理する,"米内, 貴志,米内貴志 著",ラムダノート,"Tue, 6 Apr 2021 19:33:35 +0900"
4005007929,キリスト教入門 792 (岩波ジュニア新書),"山我,哲雄,1951-",岩波書店,201412
4798068853,Blender Python完全ガイド,ぬっち,秀和システム,202401
4022618655,関西人の正体 い45-4 (朝日文庫),"井上,章一,1955-",朝日新聞出版,201607
4263731638,マイナーエマージェンシー,"大滝,純司,1958- 齊藤,裕之 Buttaravoli,PhilipM Leffler,StephenM",医歯薬出版,201503
4480512233,ガロアの夢 群論と微分方程式 ク-36-1 (ちくま学芸文庫),久賀道郎／本文,筑摩書房,20231211
4635140075,感謝されない医者 : ある凍傷Dr.のモノローグ,"金田,正樹,1946-2019",山と溪谷社,200703
4798069744,ストレンジコード : 難解プログラミング言語を巡る不思議な旅,"Kneusel,RonaldT 水野,貴明,1973- 竹迫,良範,1977-",秀和システム,202402
4908686165,プログラマーのためのCPU入門 : CPUは如何にしてソフトウェアを高速に実行するか,"Takenobu Tani,Takenobu Tani 著",ラムダノート,"Fri, 8 Mar 2024 18:48:48 +0900"
4313180656,公務員の議会答弁言いかえフレーズ,"森下,寿",学陽書房,202110
4560096392,ヨーロッパ中世象徴史,"Pastoureau,Michel,1947- 篠田,勝英,1948-",白水社,201805
4621061453,統計のための行列代数 1 上,,丸善出版,201201
4621061526,統計のための行列代数 2 下,,丸善出版,201201
4901007092,家政婦は見られた! : 土曜ワイド劇場(テレビ朝日系列)家政婦は見た!公式ガイドブック,"柴, 英三郎, 1926-,大沢家政婦研究所,柴英三郎 監修,大沢家政婦研究所 編",音羽出版,"Sat, 20 Mar 2010 08:59:59 +0900"
4815604975,図解入門TCP/IP = An Illustrated Introduction to TCP/IP : 仕組み・動作が見てわかる,"みやた,ひろし",SBクリエイティブ,202012
4815618593,体験しながら学ぶネットワーク技術入門,"みやた,ひろし",SBクリエイティブ,202401
4130606077,光の物理　新装版,小林浩一／著,東京大学出版会,20231102
