bookmeter_url,isbn_or_asin,book_title,author,publisher,published_date,exist_in_UTokyo,utokyo_opac
https://bookmeter.com/books/58647,0262510871,Structure and Interpretation of Computer Programs,,The MIT Press,c1996-01,Yes,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BA28738118
https://bookmeter.com/books/7653861,0471669830,Matrix analysis for statistics (Wiley series in probability and mathematical statistics),"Schott,JamesR.",John Wiley,c2005-01,Yes,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BA70963666
https://bookmeter.com/books/109320,0801854148,Matrix computations (Johns Hopkins studies in the mathematical sciences),"Golub,GeneH.／著 VanLoan,CharlesF.／著 VanLoanCharlesF.(ProfessorofComputerScienceCornellUniversityUSA)／著 ほか",Johns Hopkins University Press,1996-01,Yes,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BA69121447
https://bookmeter.com/books/134256,3540663134,Extremal Combinatorics: With Applications in Computer Science,Stasys Jukna,Springer,2001,Yes,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BA52468701
https://bookmeter.com/books/4152950,0387940537,An Introduction to Kolmogorov Complexity and Its Applications (Monographs in Computer Science),"Li, Ming,Vitanyi, Paul",Springer,1994-05-06,Yes,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BA20969467
https://bookmeter.com/books/3211449,0471531413,Contemporary Design Theory: A Collection of Surveys (Wiley Series in Discrete Mathematics and Optimization),,Wiley-Interscience,1992-06,Yes,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BA1850410X
https://bookmeter.com/books/3563723,1575862123,Selected Papers on Analysis of Algorithms,"Knuth, Donald E.",Centre for the Study of Language & Information,2000,Yes,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BA47563077
https://bookmeter.com/books/18657265,0521801974,"Topics in algebraic graph theory / edited by Lowell W. Beineke, Robin J. Wilson ; academic consultant, Peter J. Cameron 102 (Encyclopedia of mathematics and its applications)","Wilson,RobinJ.,1943- Beineke,LowellW",Cambridge University Press,2004-01,Yes,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BA69344612
https://bookmeter.com/books/5720985,0521470250,Davenport–Schinzel Sequences and their Geometric Applications,"Sharir, Micha,Agarwal, Pankaj K.",Cambridge University Press,1995-05-26,Yes,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BA25657290
https://bookmeter.com/books/4854359,0521002702,"Surveys in Combinatorics, 2001 (London Mathematical Society Lecture Note Series, Series Number 288)","Hirschfeld, J. W. P.",Cambridge University Press,2001-08-20,Yes,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BA52420126
https://bookmeter.com/books/7715242,0521653762,"Surveys in combinatorics, 1999 (London Mathematical Society lecture note series, 267)","BritishCombinatorialConference Lamb,J.D.(JohnDouglas) ほか",Cambridge University Press,1999,Yes,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BA42196784
https://bookmeter.com/books/20938317,0521836638,Spectral generalizations of line graphs : on graphs with least eigenvalue -2 (London Mathematical Society lecture note series),"Cvetković,DragošM.／著 Rowlinson,Peter／著 Simić,Slobodan／著 ほか",Cambridge University Press,2004,Yes,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BA68033209
https://bookmeter.com/books/3505287,0387952209,Algebraic graph theory (Graduate texts in mathematics),"Godsil,C.D.／著 GodsilChris／著 RoyleGordon／著",Springer,c2001-01,Yes,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BA51932304
https://bookmeter.com/books/4005231,0521797225,"Random Graphs (Cambridge Studies in Advanced Mathematics, Series Number 73)","Bollobás, Béla",Cambridge University Press,2001-10-08,Yes,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BA5354590X
https://bookmeter.com/books/1533874,9812560335,Planar graph drawing (Lecture Notes Computing),"Nishizeki, Takao,Rahman, Dr Md Saidur",Wspc,2004-09-23,No,
https://bookmeter.com/books/3364595,0387982116,"Graph Theory (Graduate Texts in Mathematics, 173)",Reinhard Diestel,Springer-Verlag,1997,Yes,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BA31114766
https://bookmeter.com/books/3505279,038794365X,Lectures on polytopes (Graduate texts in mathematics),ZieglerGunterM.／著,Springer-Verlag,1995,Yes,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BA8573684X
https://bookmeter.com/books/8389977,0521529034,"Topics in Graph Automorphisms and Reconstruction (London Mathematical Society Student Texts, Series Number 54)","Lauri, Josef,Scapellato, Raffaele",Cambridge University Press,2003-03-17,Yes,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BA62227031
https://bookmeter.com/books/8391851,0521890012,"Finite Markov Chains and Algorithmic Applications (London Mathematical Society Student Texts, Series Number 52)","Häggström, Olle",Cambridge University Press,2002-06-10,Yes,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BA5683446X
https://bookmeter.com/books/15921203,0521794897,Graph theory (Encyclopedia of mathematics and its applications),"Nash-Williams,CrispinSt.J.A.／著",Cambridge University Press,2001,Yes,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BA52240281
https://bookmeter.com/books/4667863,0201403749,"Algorithms and Data Structures: Design, Correctness, Analysis (2nd Edition)","Kingston, Jeffrey H.",Pearson,1997-09-13,No,
https://bookmeter.com/books/21951445,3540668098,Elemental methods in ergodic Ramsey theory / Randall McCutcheon 1722 (Lecture notes in mathematics),"McCutcheon,Randall,1965-",Springer,1999,Yes,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BA44672688
https://bookmeter.com/books/4739250,0471934305,Spatial Tessellations: Concepts and Applications of Voronoi Diagrams (Wiley Series in Probability and Statistics),"Okabe, Atsuyuki,Boots, Barry,Sugihara, Kokichi",John Wiley & Son Ltd,1992,Yes,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BA18599605
https://bookmeter.com/books/7132674,020140009X,An Introduction to the Analysis of Algorithms,"Sedgewick, Robert,Flajolet, Philippe",Addison-Wesley Professional,1995,No,
https://bookmeter.com/books/22070730,0387982817,Complexity and Real Computation,"Blum, Lenore,Cucker, Felipe,Shub, Michael,Smale, Steve",Springer,1997-10-30,Yes,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BA33506290
https://bookmeter.com/books/5307964,0387949739,Complexity Theory Retrospective II (Springer Series in Statistics),,Springer,1997-06-05,Yes,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BA31758190
https://bookmeter.com/books/7509707,0521827582,Tolerance graphs (Cambridge studies in advanced mathematics),"Golumbic,MartinCharles／著 BollobasB.／著 FultonW.／著 ほか",Cambridge University Press,2004-01,Yes,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BA66119551
