isbn_or_asin,book_title,author,publisher,published_date,central_opac_link,mathlib_opac_link
4562053151,悪魔と悪魔学の事典,"Guiley,Rosemary 金井,美子 木村,浩美 白須,清美,1969-",原書房,201604,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB21257334,
4814400411,ルールズ・オブ・プログラミング : より良いコードを書くための21のルール,"Zimmerman,Chris 久富木,隆一",オーム社 (発売),202308,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD03546979,
4862761593,フェアトレードのおかしな真実 : 僕は本当に良いビジネスを探す旅に出た,"Woodman,Conor 松本,裕",英治出版,201308,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB13308032,
406527978X,Pythonではじめるベイズ機械学習入門 = Introduction to Bayesian Machine Learning with Python,"森賀,新 木田,悠歩 須山,敦志",講談社,202205,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BC14834901,
4780607892,線形代数学,"溝畑,潔 多久和,英樹 浦部,治一郎,1950-",学術図書出版社,201912,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB29573597,
4065212707,しっかり学ぶ数理最適化 : モデルからアルゴリズムまで,"梅谷,俊治",講談社,202010,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BC03460184,
4336065772,怪異の表象空間 : メディア・オカルト・サブカルチャー,"一柳,広孝,1959-",国書刊行会,202003,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB3010595X,
4865283838,セミコロン　かくも控えめであまりにもやっかいな句読点,セシリア・ワトソン／著 萩澤大輝／翻訳 倉林秀男／翻訳,左右社,20230830,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD03572367,
4768705251,アントンのやさしい線型代数,"H.アントン 著,山下純一 訳,Anton, Howard,山下, 純一, 1948-,",現代数学社,"Mon, 10 Feb 2020 09:00:00 +0900",https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB29664546,
4297123835,アートで魅せる数学の世界 = THE WORLD OF MATHEMATICS FASCINATED WITH ART,"岡本,健太郎,1990-",技術評論社,202111,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BC1065565X,
4062577380,物理数学の直観的方法 : 理工系で学ぶ数学「難所突破」の特効薬,"長沼,伸一郎,1961-",講談社,201109,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB0677041X,
448084323X,当事者は嘘をつく,小松原織香／著,筑摩書房,20220131,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BC12468110,
4588200313,からくり,立川昭二／著,法政大学出版局,19690601,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BN00802380,
4320114973,測度論からの数理統計学,綿森葉子／著 田中秀和／著 田中潮／著,共立出版,20230928,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD04057796,
4802613199,統計学入門 : データ分析に必須の知識・考え方 : 仮説検定から統計モデリングまで重要トピックを完全網羅,"阿部,真人,1984-",ソシム,202112,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BC11258644,
4274230023,Rによる実証分析 : 回帰分析から因果分析へ,"星野,匡郎,1984- 田中,久稔,1974- 北川,梨津,1997-",オーム社,202301,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD00482290,
4254126654,サンプルサイズの決め方,"永田,靖,1957-数学",朝倉書店,200309,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BA63714639,
4588200615,結び,額田巌／著,法政大学出版局,19720301,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BN00927615,
4254111371,美しい不等式の世界 : 数学オリンピックの問題を題材として,"BulajichManfrino,Radmila／著 GómezOrtega,JoséAntonio／著 ほか",朝倉書店,2013-01,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB11424983,
4431712143,解析教程 下,"Hairer,Ernst Wanner,Gerhard 蟹江,幸博,1948-",シュプリンガー・ジャパン,200610,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BA78859114,
4431712135,解析教程 上,"Hairer,Ernst Wanner,Gerhard 蟹江,幸博,1948-",シュプリンガー・ジャパン,200610,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BA78859114,
4492312986,経済学・経営学のための数学,"岡田,章,1954-",東洋経済新報社,200110,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BA53609740,
4130230808,歴史学の作法,池上俊一／著,東京大学出版会,20221226,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BC18932378,
4791765370,魔術師たちのルネサンス : 錬金術からコスモロジーへ,"沢井,繁男,1954-",青土社,201003,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB01613050,
4254116063,講座数学の考え方 13,"飯高,茂,1942- 川又,雄二郎,1952- 森田,茂之,1946- 谷島,賢二,1948-",朝倉書店,201504,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB18502939,https://mathlib-sophia.opac.jp/opac/Advanced_search/search?isbn=9784254116069&mtl1=1&mtl2=1&mtl3=1&mtl4=1&mtl5=1
4802612494,データ分析のための数理モデル入門 : 本質をとらえた分析のために,"江崎,貴裕",ソシム,202005,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB30526175,
4582768717,江戸の読書会 : 会読の思想史,"前田,勉,1956-",平凡社,201809,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB2679424X,
4582474098,放浪学生プラッターの手記 : スイスのルネサンス人,"Platter,Thomas,1499- 阿部,謹也,1935-2006",平凡社,198507,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BN0072579X,
4861007836,ビジュアル・コンプレキシティ : 情報パターンのマッピング,"Lima,Manuel,1978- 奥,いずみ,1973- 久保田,晃弘,1960-",ビー・エヌ・エヌ新社,201203,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB08684578,
481440042X,ポートスキャナ自作ではじめるペネトレーションテスト : Linux環境で学ぶ攻撃者の思考,株式会社ステラセキュリティ小竹泰一／著,オライリー・ジャパン,20230920,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD03912465,
