isbn_or_asin,book_title,author,publisher,published_date
4873117437,メタプログラミングRuby,"Perrotta,Paolo 角,征典",オーム社,201510
4274227553,凸解析と最適化理論 = Convex Analysis and Optimization Theory,"田中,謙輔,1933-2000",オーム社,202109
4065245532,新しい電気回路 = A New Approach to Electrical Circuits 下,"松澤,昭",講談社,202109
4065232708,新しい電気回路 = A New Approach to Electrical Circuits 上,"松澤,昭1952-",講談社,202105
4814400497,雑に作る : 電子工作で好きなものを作る近道集,石川大樹／著 ギャル電／著 藤原麻里菜／著,オライリー・ジャパン,20231024
4044007527,神秘学講義,"高橋,巌,1928-",KADOKAWA,202303
4065332834,中世ヨーロッパの色彩世界,"徳井,淑子,1949-",講談社,202309
4798027979,わかる!電子工作の基本100,"遠藤,敏夫,1949-",秀和システム,201012
4791109880,発達障害の精神病理 1,"鈴木,国文,1952- 内海,健,1955- 清水,光恵,1967-",星和書店,201809
4480084886,日本文学史序説　（下）,加藤周一／著,筑摩書房,19990401
4480084878,日本文学史序説　（上）,加藤周一／著,筑摩書房,19990401
4102184716,ケプラー予想 : 四百年の難問が解けるまで,"Szpiro,George,1950- 青木,薫,1956-",新潮社,201401
4331150526,プログラム学習による基礎電気工学,"松下電器工学院/編著,","松下電器産業,広済堂出版(発売)",
4331150518,プログラム学習による基礎電気工学,"松下電器工学院 編著,松下電器工学院,",松下電器産業,
433115050X,基礎電子工学 : プログラム学習による 電子回路編　１,松下電器工学院 末武国弘,松下電器産業,1975
4326000481,デジタルアーカイブの理論と政策 : デジタル文化資源の活用に向けて,"柳,与志夫,1954-",勁草書房,202001
4040667956,東京大学の学術遺産捃拾帖,"モリナガ,ヨウ,1966-",KADOKAWA,201406
4641166099,研究開発支援の経済学,岡室博之／著・文・その他 西村淳一／著・文・その他,有斐閣,20221219
429713232X,Pythonで学ぶ衛星データ解析基礎 : 環境変化を定量的に把握しよう,"田中,康平,pub.2022 田村,賢哉 玉置,慎吾 宮﨑,浩之",技術評論社,202212
400500850X,聖徳太子 : ほんとうの姿を求めて,"東野,治之,1946-",岩波書店,201704
4834013871,昔話の語法,"小沢,俊夫,1930-",福音館書店,199910
4908468605,エセ著作権事件簿,友利昴／著,パブリブ,20220711
4061592432,ケルト妖精学,"井村,君江,1932-",講談社,199608
4480087966,ケルト妖精学,"井村君江 著,井村, 君江, 1932-,",筑摩書房,"Mon, 19 Jan 2004 09:00:00 +0900"
4862464831,ゲームエンジンアーキテクチャ,"Gregory,Jason 今給黎,隆,1972- 湊,和久 大貫,宏美 田中,幸,翻訳家",ボーンデジタル,202012
4622089513,患者の話は医師にどう聞こえるのか : 診察室のすれちがいを科学する,"Ofri,Danielle,1965- 原井,宏明 勝田,さよ",みすず書房,202011
4764905132,IT技術者の長寿と健康のために,"長野,宏宣,1945- 中川,晋一,1961- 蒲池,孝一,1947- 情報通信医学研究所",近代科学社,201606
4798061700,実践Rustプログラミング入門 = introduction to rust programming,"初田,直也 山口,聖弘 吉川,哲史 豊田,優貴 松本,健太郎,webエンジニア 原,将己 ほか",秀和システム,202009
4344953304,幼なじみ萌え : ラブコメ恋愛文化史,"玉井,建也",幻冬舎,201711
4798125393,実践プログラミングDSL : ドメイン特化言語の設計と実装のノウハウ,"Ghosh,Debasish,1953- 佐藤,竜一,1972-",翔泳社,201206
4434046683,ハッカーのたのしみ : 本物のプログラマはいかにして問題を解くか,"Warren,HenryS 滝沢,徹",星雲社,200409
4774153265,人間に勝つコンピュータ将棋の作り方,コンピュータ将棋協会,技術評論社,201211
