isbn_or_asin,book_title,author,publisher,published_date,exist_in_sophia,central_opac_link,mathlib_opac_link
4535787603,学んでみよう！　記号論理,高崎金久／著,日本評論社,20140822,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB1644619X,
4788508427,神、人を喰う 人身御供の民俗学,六車由実／著,新曜社,2003-03,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BA61847518,
4641163642,比較制度分析・入門,中林真幸／著 石黒真吾／著,有斐閣,2010-12,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB0432979X,
4896944712,図説数の文化史 : 世界の数字と計算法,"Menninger,Karl／著 内林政夫／翻訳 メニンガーK.／著",八坂書房,2001-04,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BA51768812,
4641165483,実証のための計量時系列分析,ウォルター・エンダース（WalterEnders）／著 新谷元嗣／翻訳 藪友良／翻訳,有斐閣,20191212,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB29344647,
425412841X,経済・ファイナンスのためのカルマンフィルター入門,森平爽一郎／著,朝倉書店,20190206,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB27703782,https://mathlib-sophia.opac.jp/opac/Advanced_search/search?isbn=425412841X&mtl1=1&mtl2=1&mtl3=1&mtl4=1&mtl5=1
4002710521,「私物化」される国公立大学,駒込武／著,岩波書店,20210909,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BC09664223,
4274229181,Pythonで始める　機器分析データの解析とケモメトリックス,森田成昭／著,オーム社,20220922,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BC16891021,
4910612041,大学院・大学編入のための応用数学―基本事項の整理と問題演習および入試問題研究―,桜井基晴／著,プレアデス出版,20220820,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BC16505365,
453554042X,経済論文の書き方,経済セミナー編集部／編集,日本評論社,20220916,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BC16683024,
4627083114,数理人口学入門,稲葉寿／著,森北出版,20220914,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BC16799969,
4121027221,陰謀論 民主主義を揺るがすメカニズム,秦正樹／著,中央公論新社,20221020,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BC17273571,
