isbn_or_asin,book_title,author,publisher,published_date
4535540489,データ駆動型回帰分析 : 計量経済学と機械学習の融合,"末石 直也,末石 直也 著・文・その他","日本評論社,日本評論社","Mon, 26 Feb 2024 00:44:29 +0900"
4254161395,Pythonによる気象・気候データ解析Ⅱ : スペクトル解析・EOFとSVD・統計検定と推定,"神山 翼,神山 翼 著・文・その他","朝倉書店,朝倉書店","Mon, 19 Feb 2024 00:39:34 +0900"
4254161387,Pythonによる気象・気候データ解析Ⅰ : Pythonの基礎・気候値と偏差・回帰相関分析,"神山 翼,神山 翼 著・文・その他","朝倉書店,朝倉書店","Mon, 19 Feb 2024 00:39:34 +0900"
4480512233,ガロアの夢 群論と微分方程式,久賀道郎／本文,筑摩書房,20231211
4635140075,感謝されない医者 : ある凍傷Dr.のモノローグ,"金田,正樹,1946-2019",山と溪谷社,200703
4798069744,ストレンジコード,"Ronald T. Kneusel,水野貴明,竹迫良範,Ronald T. Kneusel 著・文・その他,水野貴明 翻訳,竹迫良範 監修","秀和システム,秀和システム","Mon, 19 Feb 2024 00:39:43 +0900"
4908686165,プログラマーのためのCPU入門 : CPUは如何にしてソフトウェアを高速に実行するか,"Tani, Takenobu,Takenobu Tani著",ラムダノート,"Fri, 15 Dec 2023 14:10:48 +0900"
4313180656,公務員の議会答弁言いかえフレーズ,"森下,寿",学陽書房,202110
4863544332,改訂新版 インフラエンジニアの教科書,佐野裕／著,シーアンドアール研究所,20231114
4560096392,ヨーロッパ中世象徴史,"Pastoureau,Michel,1947- 篠田,勝英,1948-",白水社,201805
4901007092,家政婦は見られた! : 土曜ワイド劇場(テレビ朝日系列)家政婦は見た!公式ガイドブック,"柴, 英三郎, 1926-,大沢家政婦研究所,柴英三郎 監修,大沢家政婦研究所 編",音羽出版,"Sat, 20 Mar 2010 08:59:59 +0900"
432745317X,読解のための上級英文法,田上芳彦／著,研究社,20231225
4815618593,体験しながら学ぶ ネットワーク技術入門,みやたひろし／著,ＳＢクリエイティブ,20240113
484437849X,はじめて学ぶバイナリ解析 : 不正なコードからコンピュータを守るサイバーセキュリティ技術,"小林, 佐保,岡田, 怜士,浅部, 佑,満永, 拓邦,小林佐保, 岡田怜士, 浅部佑, 満永拓邦 著","インプレスR&D,インプレス (発売)","Fri, 16 Oct 2020 04:54:12 +0900"
4594062539,マンガけもの道 : まんだらけ中野店副店長の珍作発掘探訪,"岩井, 道,岩井道 著",扶桑社,"Wed, 13 Oct 2010 00:10:12 +0900"
4320115589,組合せゲーム理論の世界 : 数学で解き明かす必勝法,安福智明／著 坂井公／著 末續鴻輝／著,共立出版,20240228
4469244082,これでいいのか大学入試英語 下,"Watkins,Gareth",大修館書店,199710
4469244074,これでいいのか大学入試英語 上,"Watkins,Gareth",大修館書店,199710
4309419267,屋根裏に誰かいるんですよ。 : 都市伝説の精神病理,"春日,武彦,1951-",河出書房新社,202210
4044003505,カクレキリシタン : 現代に生きる民俗信仰,"宮崎,賢太郎,1950-",KADOKAWA,201802
4295013498,スーパーユーザーなら知っておくべきLINUXシステムの仕組み,"Ward,Brian,1972- 柴田,芳樹,1959-",インプレス,202203
4094083359,実録死体農場,"Bass, William M,Jefferson, Jon,相原, 真理子, 1947-2010,ビル・バス, ジョン・ジェファーソン 著,相原真理子 訳",小学館,"Thu, 24 Jan 2013 07:02:29 +0900"
4775313010,図解魔術の歴史,"草野,巧,1956-",新紀元社,201503
4814400586,Rustの練習帳 : コマンドラインツールの作成を通してRustを学ぶ,KenYouens-Clark／著 中山光樹／翻訳,オライリー・ジャパン,20240118
4876872112,鉄道重大事故の歴史,"久保田,博,1924-",グランプリ出版,200006
4876874123,鉄道重大事故の歴史―鉄道事故に見る安全技術の進化,久保田博／著,グランプリ出版,20231212
4562053151,悪魔と悪魔学の事典,"Guiley,Rosemary 金井,美子 木村,浩美 白須,清美,1969-",原書房,201604
490868605X,数式組版,"木枝, 祐介,木枝祐介 著",ラムダノート,"Wed, 13 Jun 2018 18:33:52 +0900"
4780607892,線形代数学,"溝畑,潔 多久和,英樹 浦部,治一郎,1950-",学術図書出版社,201912
4768705251,アントンのやさしい線型代数,"Anton, Howard,山下, 純一, 1948-,H.アントン 著,山下純一 訳",現代数学社,"Mon, 10 Feb 2020 18:58:14 +0900"
4874249582,言語教育における多読,I.S.P.Nation／著 RobWaring／著 MitsueTabata-Sandom／監修 ほか,くろしお出版,20231025
4789837513,ディジタル回路の設計入門 : ハードウェアの動きを理解しながら学ぶ,湯山俊夫,CQ出版,2005-4-1
481440042X,ポートスキャナ自作ではじめるペネトレーションテスト : Linux環境で学ぶ攻撃者の思考,株式会社ステラセキュリティ小竹泰一／著,オライリー・ジャパン,20230920
4274229629,仕事ですぐに使える!DaVinci Resolveによる動画編集,"小寺,信良,1963-",オーム社,202211
4478117764,大学図鑑! 2024,,ダイヤモンド社,202303
4759823522,殺人は容易ではない : アガサ・クリスティーの法科学,CarlaValentine／著 久保美代子／翻訳,化学同人,20231218
4041083265,ゴーストリイ・フォークロア = ghostly folklore : 17世紀～20世紀初頭の英国怪異譚,"南条,竹則,1958-",KADOKAWA,202001
4906529925,信州の秘境駅・小駅を巡る : 近代化から過疎化への100年旅,"久保田,稔,1960-",川辺書林,202203
4299042387,クセがスゴい不動産,あなたの理想不動産,宝島社,202306
