isbn_or_asin,book_title,author,publisher,published_date,exist_in_sophia
4627097212,確率的シミュレーション,大久保潤／著,森北出版,20231215,No
4789837513,ディジタル回路の設計入門 : ハードウェアの動きを理解しながら学ぶ,湯山俊夫,CQ出版,2005-4-1,No
B00IEY7QJM,Not_found_in_GoogleBooks,Not_found_in_GoogleBooks,Not_found_in_GoogleBooks,Not_found_in_GoogleBooks,No
4478117764,大学図鑑! 2024,,ダイヤモンド社,202303,No
4320114981,証明の読み方・考え方〔原著第6版〕 : 数学的思考過程への手引き,DanielSolow／著 西村康一／翻訳 服部久美子／翻訳,共立出版,20231125,No
4759823522,殺人は容易ではない : アガサ・クリスティーの法科学,CarlaValentine／著 久保美代子／翻訳,化学同人,20231204,No
4065245532,新しい電気回路 = A New Approach to Electrical Circuits 下,"松澤,昭",講談社,202109,No
4065232708,新しい電気回路 = A New Approach to Electrical Circuits 上,"松澤,昭1952-",講談社,202105,No
4814400497,雑に作る : 電子工作で好きなものを作る近道集,石川大樹／著 ギャル電／著 藤原麻里菜／著,オライリー・ジャパン,20231024,No
4044007527,神秘学講義,"高橋,巌,1928-",KADOKAWA,202303,No
4814400004,Pythonではじめるオープンエンドな進化的アルゴリズム : 発散型の機械学習による多様な解の探索,岡瑞起／著 齊藤拓己／著 嶋田健志／著,オライリー・ジャパン,20231018,No
4274230899,ゲーム理論からの社会ネットワーク分析,藤山英樹／著,オーム社,20231025,No
4906529925,信州の秘境駅・小駅を巡る : 近代化から過疎化への100年旅,"久保田,稔,1960-",川辺書林,202203,No
4299042387,クセがスゴい不動産,あなたの理想不動産,宝島社,202306,No
4802213050,秘境駅で途方に暮れた,"カベルナリア吉田,1965-",イカロス出版,202306,No
4065332834,中世ヨーロッパの色彩世界,徳井淑子／著,講談社,20230911,No
4320115007,偏微分方程式の計算数理,齊藤宣一／著,共立出版,20231025,No
4867660221,デジタルヒストリーを実践する,ジョナサン・ブレイニー／著 ジェーン・ウィンターズ／著 サラ・ミリガン／著 マーティ・スティア／著 ほか,文学通信,20231020,No
4798027979,わかる!電子工作の基本100,"遠藤,敏夫,1949-",秀和システム,201012,No
0071752064,Practice Makes Perfect English Articles and Determiners Up Close,Mark Lester,McGraw Hill Professional,2013-08-07,No
4791109880,発達障害の精神病理 1,"鈴木,国文,1952- 内海,健,1955- 清水,光恵,1967-",星和書店,201809,No
4791111168,発達障害の精神病理 4,"内海,健,1955- 兼本,浩祐,1957-",星和書店,202306,No
4480056599,読み書きの技法,"小河原誠 著,小河原, 誠, 1947-,",筑摩書房,"Tue, 30 Jul 1996 09:00:00 +0900",No
4480084886,日本文学史序説　（下）,加藤周一／著,筑摩書房,19990401,No
4480084878,日本文学史序説　（上）,加藤周一／著,筑摩書房,19990401,No
4309416845,日本の偽書,"藤原,明,1958-",河出書房新社,201905,No
4798179809,なっとく!関数型プログラミング : 関数型プログラミングの基本概念の全容を把握し活用したい開発者に,"Płachta,Michał クイープ",翔泳社,202308,No
1837639965,Architecture and Design of the Linux Storage Stack: Gain a Deep Understanding of the Linux Storage Landscape and Its Well-coordinated Layers,Muhammad Umer,Packt Publishing,2023-07,No
4102184716,ケプラー予想 : 四百年の難問が解けるまで,"Szpiro,George,1950- 青木,薫,1956-",新潮社,201401,No
4905033314,プロジェクト・シン・エヴァンゲリオン : 実績・省察・評価・総括,"カラー 編,カラー,","カラー,グラウンドワークス","Wed, 09 Aug 2023 09:00:00 +0900",No
4065324017,プリキュア20周年アニバーサリー　プリキュアコスチュームクロニクル　,講談社／編集 東映アニメーション／監修,講談社,20231031,No
9811379661,"Kawaii Engineering Measurements, Evaluations, and Applications of Attractiveness",Michiko Ohkura,Springer,2020-08-15,No
4309419690,日本怪談実話,"田中,貢太郎,1880-1941",河出書房新社,202306,No
4309419712,戦前のこわい話 : 怪奇実話集,"志村,有弘,1941-",河出書房新社,202306,No
4331150526,プログラム学習による基礎電気工学,"松下電器工学院/編著,","松下電器産業,広済堂出版(発売)",,No
4331150518,プログラム学習による基礎電気工学,"松下電器工学院 編著,松下電器工学院,",松下電器産業,,No
433115050X,基礎電子工学 : プログラム学習による 電子回路編　１,松下電器工学院 末武国弘,松下電器産業,1975,No
4800307961,元報道記者が見た昭和事件史 : 歴史から抹殺された惨劇の記録,"石川,清,1964-",洋泉社,201511,No
4863135629,絶対に停まらない世界の廃墟駅,"Ross,David(DavidSoutherland) 大島,聡子",日経BPマーケティング (発売),202305,No
4326000481,デジタルアーカイブの理論と政策 : デジタル文化資源の活用に向けて,"柳,与志夫,1954-",勁草書房,202001,No
4761101857,仙人ワンダーランド : 和漢仙人列伝,"影山,純夫,1947-",河原書店,202305,No
4390114956,フランス怪奇民話集,"植田祐次, 山内淳 訳編,植田, 祐次, 1936-,山内, 淳, 1951-,",社会思想社,"Wed, 30 Mar 1994 09:00:00 +0900",No
B086PTBFGB,Not_found_in_GoogleBooks,Not_found_in_GoogleBooks,Not_found_in_GoogleBooks,Not_found_in_GoogleBooks,No
4040667956,東京大学の学術遺産捃拾帖,"モリナガ,ヨウ,1966-",KADOKAWA,201406,No
4641166099,研究開発支援の経済学,岡室博之／著・文・その他 西村淳一／著・文・その他,有斐閣,20221219,No
4837967701,あなたの知らない「ヘン」な法律,"なかむら,いちろう",三笠書房,201512,No
429713232X,Pythonで学ぶ衛星データ解析基礎 : 環境変化を定量的に把握しよう,"田中,康平,pub.2022 田村,賢哉 玉置,慎吾 宮﨑,浩之",技術評論社,202212,No
487502553X,キルヒャーの世界図鑑 : よみがえる普遍の夢,"Godwin,Joscelyn,1945- 川島,昭夫,1950-2020",工作舎,202303,No
4295003255,新人エンジニアのためのインフラ入門,"BFT 著,BFT,",インプレス,"Mon, 09 Apr 2018 09:00:00 +0900",No
400500850X,聖徳太子 : ほんとうの姿を求めて,"東野,治之,1946-",岩波書店,201704,No
4834013871,昔話の語法,"小沢,俊夫,1930-",福音館書店,199910,No
4908468605,エセ著作権事件簿,友利昴／著,パブリブ,20220711,No
4061592432,ケルト妖精学,"井村,君江,1932-",講談社,199608,No
4480087966,ケルト妖精学,"井村君江 著,井村, 君江, 1932-,",筑摩書房,"Mon, 19 Jan 2004 09:00:00 +0900",No
4862464831,ゲームエンジンアーキテクチャ,"Gregory,Jason 今給黎,隆,1972- 湊,和久 大貫,宏美 田中,幸,翻訳家",ボーンデジタル,202012,No
4865280685,わたしが先生の「ロリータ」だったころ,アリソン・ウッド／著者 服部理佳／訳者,左右社,20220307,No
4798068160,"Good Code,Bad Code : 持続可能な開発のためのソフトウェアエンジニア的思考","Long,Tom 秋,勇紀 高田,新山 山本,大祐,1983-",秀和システム,202302,No
4622089513,患者の話は医師にどう聞こえるのか : 診察室のすれちがいを科学する,"Ofri,Danielle,1965- 原井,宏明 勝田,さよ",みすず書房,202011,No
1680502549,Domain modeling made functional : tackle software complexity with domain-driven design and F♯,"Scott Wlaschin,Wlaschin, Scott,MacDonald, Brian,",The Pragmatic Bookshelf,,No
4764905132,IT技術者の長寿と健康のために,"長野,宏宣,1945- 中川,晋一,1961- 蒲池,孝一,1947- 情報通信医学研究所",近代科学社,201606,No
0312383215,What people wore when : a complete illustrated history of costume from ancient times to the nineteenth century for every level of society,"Melissa Leventon,Leventon, Melissa,",St. Martin's Griffin,,No
4296111914,電子工作パーツ制御完全攻略 : ラズパイ自由自在,"松岡,貴志 日経BP",日経BPマーケティング (発売),202203,No
4798061700,実践Rustプログラミング入門 = introduction to rust programming,"初田,直也 山口,聖弘 吉川,哲史 豊田,優貴 松本,健太郎,webエンジニア 原,将己 ほか",秀和システム,202009,No
4562072547,世界を騙した女詐欺師たち,"Telfer,Tori 富原,まさ江,1965-",原書房,202302,No
4344953304,幼なじみ萌え : ラブコメ恋愛文化史,"玉井,建也",幻冬舎,201711,No
3031004418,General Game Playing,"Michael Genesereth,Michael Thielscher",Springer,2014-03-18,No
4798125393,実践プログラミングDSL : ドメイン特化言語の設計と実装のノウハウ,"Ghosh,Debasish,1953- 佐藤,竜一,1972-",翔泳社,201206,No
4839967091,囲碁ディープラーニングプログラミング,"Pumperla,Max Ferguson,Kevin 山岡,忠夫",マイナビ出版,201904,No
4309460631,ホームズ贋作展覧会,"各務三郎 編,各務, 三郎, 1936-,",河出書房新社,"Thu, 05 Oct 1989 09:00:00 +0900",No
0321842685,Hacker's Delight,Henry S. Warren,Pearson Education,2013,No
4434046683,ハッカーのたのしみ : 本物のプログラマはいかにして問題を解くか,"Warren,HenryS 滝沢,徹",星雲社,200409,No
4774153265,人間に勝つコンピュータ将棋の作り方,コンピュータ将棋協会,技術評論社,201211,No
4814400160,自分だけのボードゲームを作ろう : ゲームをデザインして、作って、みんなでプレイする,"Daniels,JesseTerrance 金井,哲夫,1958-",オーム社 (発売),202212,No
4798171549,「技術書」の読書術 : 達人が教える選び方・読み方・情報発信&共有のコツとテクニック,"IPUSIRON,1979- 増井,敏克,1979-",翔泳社,202211,No
4480438319,神田神保町書肆街考,鹿島茂／著,筑摩書房,20221013,No
4787210130,ボンデージ進化論,北原童夢／著,青弓社,19920401,No
4297102838,逆引きPIC電子工作やりたいこと事典,"後閑哲也著,後閑, 哲也,",技術評論社,,No
